"PVWatts: Hourly PV Performance Data"
"Requested Location:","140 Gulf St Milford CT"
"Location:","Lat, Lon: 41.21, -73.06"
"Lat (deg N):","41.21"
"Long (deg W):","73.06"
"Elev (m):","24.272727966309"
"DC System Size (kW):","52.6"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","182"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.159"
"Capacity Factor (%)","14.8"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0","1","0","0","0","0"
"1","1","1","0","0","-1","0","0","-1","0","0"
"1","1","2","0","0","-1","0","0","-1","0","0"
"1","1","3","0","0","-1","1","0","-1","0","0"
"1","1","4","0","0","-1","1","0","-1","0","0"
"1","1","5","0","0","-1","1","0","-1","0","0"
"1","1","6","0","0","-1","1","0","-1","0","0"
"1","1","7","0","0","0","1","0","0","0","0"
"1","1","8","0","10","0","1","9.46","-2.547","482.881","205.756"
"1","1","9","0","62","0","1","58.932","-0.754","2985.733","2660.526"
"1","1","10","0","102","1","1","99.336","1.981","4975.075","4608.493"
"1","1","11","0","138","1","1","136.984","3.531","6815.516","6408.164"
"1","1","12","0","126","2","1","124.109","4.314","6154.335","5761.906"
"1","1","13","62","156","2","1","209.097","7.127","10206.146","9717.416"
"1","1","14","0","95","2","1","95.066","3.747","4725.574","4364.335"
"1","1","15","0","52","1","1","52.582","0.569","2649.231","2330.746"
"1","1","16","0","0","0","2","0","0","0","0"
"1","1","17","0","0","0","2","0","0","0","0"
"1","1","18","0","0","0","2","0","0","0","0"
"1","1","19","0","0","0","2","0","0","0","0"
"1","1","20","0","0","0","2","0","0","0","0"
"1","1","21","0","0","0","3","0","0","0","0"
"1","1","22","0","0","0","3","0","0","0","0"
"1","1","23","0","0","0","3","0","0","0","0"
"1","2","0","0","0","0","4","0","0","0","0"
"1","2","1","0","0","0","4","0","0","0","0"
"1","2","2","0","0","0","4","0","0","0","0"
"1","2","3","0","0","0","4","0","0","0","0"
"1","2","4","0","0","0","4","0","0","0","0"
"1","2","5","0","0","-1","4","0","-1","0","0"
"1","2","6","0","0","-1","5","0","-1","0","0"
"1","2","7","0","4","-1","5","3.781","-2.423","192.88","0"
"1","2","8","0","49","-1","5","47.854","-1.545","2432.534","2118.336"
"1","2","9","114","123","-1","5","202.164","1.578","10015.147","9531.218"
"1","2","10","171","166","-1","5","300.749","3.781","14844.431","14231.215"
"1","2","11","314","174","-1","6","430.999","5.692","21118.227","20312.436"
"1","2","12","106","187","-2","6","278.597","2.168","13898.028","13311.448"
"1","2","13","142","162","-2","6","277.765","1.951","13826.057","13241.477"
"1","2","14","427","90","-3","6","349.099","2.208","16986.395","16310.559"
